Datum;Konto;Typ av transaktion;Värdepapper/beskrivning;Antal;Kurs;Belopp;Transaktionsvaluta;Courtage;Valutakurs;Instrumentvaluta;ISIN;Resultat
2025-08-07;Utdelningsportföljen;Uttag;Uttag till 6000355308118;;;-210000;SEK;;1;;;
2025-08-07;Utdelningsportföljen;Insättning;Överföring från Avanzakonto 7288898;;;25000;SEK;;1;;;
2025-08-07;Fonder;Uttag;Överföring till Avanzakonto 3028640;;;-25000;SEK;;1;;;
2025-08-04;Utdelningsportföljen;Utdelning;Telia Company;1188;0,5;594;SEK;;;SEK;SE0000667925;
2025-08-04;Utdelningsportföljen;Utländsk källskatt;Utdelning T.N 0.2775 USD/aktie 15%;200;;-80,22;SEK;;1;;US00206R1023;
2025-08-04;Utdelningsportföljen;Utdelning;AT&T;200;0,2775;534,81;SEK;;1;USD;US00206R1023;
2025-07-01;Fonder;Köp;Avanza Zero;59,2627;421,85;-24999,97;SEK;0;;SEK;SE0001718388;
2025-06-27;Fonder;Insättning;Överföring från Avanzakonto 3028640;;;50000;SEK;;1;;;
2025-06-27;Utdelningsportföljen;Uttag;Överföring till Avanzakonto 7288898;;;-50000;SEK;;1;;;
2025-06-25;Oscars Portfölj;Köp;Avanza Zero;26,5117;414,91;-10999,97;SEK;0;;SEK;SE0001718388;
2025-05-20;Utdelningsportföljen;Insättning;Direktinsättning från Handelsbanken;;;50000;SEK;;1;;;
2025-05-19;Utdelningsportföljen;Utdelning;Tele2 B;300;3,2;960;SEK;;;SEK;SE0005190238;
2025-05-12;Utdelningsportföljen;Utdelning;Peab B;400;1,5;600;SEK;;;SEK;SE0000106205;
2025-05-08;Oscars Portfölj;Insättning;Direktinsättning via Swish;;;6600;SEK;;;;;
2025-05-05;Utdelningsportföljen;Utdelning;Softronic B;1876;1,35;2532,6;SEK;;;SEK;SE0000323305;
2025-05-02;Utdelningsportföljen;Utländsk källskatt;Utdelning T.N 0.2775 USD/aktie 15%;200;;-79,81;SEK;;1;;US00206R1023;
2025-05-02;Utdelningsportföljen;Utdelning;AT&T;200;0,2775;532,07;SEK;;1;USD;US00206R1023;
2025-04-15;Utdelningsportföljen;Utdelning;Telia Company;1188;0,5;594;SEK;;;SEK;SE0000667925;
2025-04-08;Utdelningsportföljen;Köp;Brinova Fastigheter B;2369;16,396834;-38902,37;SEK;58,27;;SEK;SE0008347652;
2025-04-01;Utdelningsportföljen;Utdelning;Handelsbanken B;207;15;3105;SEK;;;SEK;SE0007100607;
2025-04-01;Utdelningsportföljen;Utdelning;Swedbank A;305;21,7;6618,5;SEK;;;SEK;SE0000242455;
2025-04-01;Utdelningsportföljen;Utländsk källskatt;Utdelning NDA SE 10.15012 SEK/aktie [0,94 EUR] 35%;1160;;-4120,95;SEK;;;;FI4000297767;
2025-04-01;Utdelningsportföljen;Utdelning;Nordea Bank;1160;10,15012;11774,14;SEK;;;SEK;FI4000297767;
2025-02-11;Utdelningsportföljen;Utdelning;Telia Company;1188;0,5;594;SEK;;;SEK;SE0000667925;
2025-02-04;Utdelningsportföljen;Utländsk källskatt;Utdelning T.N 0.2775 USD/aktie 15%;200;;-91,18;SEK;;1;;US00206R1023;
2025-02-04;Utdelningsportföljen;Utdelning;AT&T;200;0,2775;607,84;SEK;;1;USD;US00206R1023;
2024-11-13;Utdelningsportföljen;Insättning;Direktinsättning från Handelsbanken;;;50000;SEK;;;;;
2024-11-12;Utdelningsportföljen;Insättning;Direktinsättning från Handelsbanken;;;50000;SEK;;;;;
2024-11-04;Utdelningsportföljen;Utdelning;Telia Company;1188;0,5;594;SEK;;;SEK;SE0000667925;
2024-11-04;Utdelningsportföljen;Utländsk källskatt;Utdelning T.N 0.2775 USD/aktie 15%;200;;-88,73;SEK;;1;;US00206R1023;
2024-11-04;Utdelningsportföljen;Utdelning;AT&T;200;0,2775;591,52;SEK;;1;USD;US00206R1023;
2024-11-04;Oscars Portfölj;Insättning;Direktinsättning från Handelsbanken;;;4500;SEK;;;;;
2024-10-17;Utdelningsportföljen;Utdelning;Tele2 B;300;3,45;1035;SEK;;;SEK;SE0005190238;
2024-08-16;Oscars Portfölj;Köp;Avanza Zero;9,6583;414,15;-3999,98;SEK;0;;SEK;SE0001718388;
2024-08-12;Oscars Portfölj;Insättning;Direktinsättning via Swish;;;1000;SEK;;;;;
2024-08-05;Utdelningsportföljen;Utdelning;Telia Company;1188;0,5;594;SEK;;;SEK;SE0000667925;
2024-08-02;Utdelningsportföljen;Utländsk källskatt;Utdelning T.N 0.2775 USD/aktie 15%;200;;-87,99;SEK;;1;;US00206R1023;
2024-08-02;Utdelningsportföljen;Utdelning;AT&T;200;0,2775;586,58;SEK;;1;USD;US00206R1023;
2024-07-25;Oscars Portfölj;Insättning;Överföring från Avanzakonto 3028640;;;2500;SEK;;;;;
2024-07-25;Utdelningsportföljen;Uttag;Överföring till Avanzakonto 9907494;;;-2500;SEK;;;;;
2024-07-01;Utdelningsportföljen;Utdelning;SBB Norden D;4000;2;8000;SEK;;;SEK;SE0011844091;
2024-05-31;Utdelningsportföljen;Ränta;;;;8,8;SEK;;;;;
2024-05-21;Utdelningsportföljen;Utdelning;Tele2 B;300;3,45;1035;SEK;;;SEK;SE0005190238;
2024-05-13;Utdelningsportföljen;Utdelning;Peab B;400;1,5;600;SEK;;;SEK;SE0000106205;
2024-05-02;Utdelningsportföljen;Utländsk källskatt;Utdelning T.N 0.2775 USD/aktie 15%;200;;-90,85;SEK;;1;;US00206R1023;
2024-05-02;Utdelningsportföljen;Utdelning;AT&T;200;0,2775;605,67;SEK;;1;USD;US00206R1023;
2024-05-01;Utdelningsportföljen;Utdelning;Softronic B;1876;1,35;2532,6;SEK;;;SEK;SE0000323305;
